riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs17822257-?	8E-11	-	NR	-	-	-	RAP1GAP2	Height	"body height"	-	GCST007841	17:2982797	30595370	"Kichaev G"
rs117810464-?	3E-10	-	NR	-	-	-	ZZEF1	Height	"body height"	-	GCST007841	17:4051437	30595370	"Kichaev G"
rs112938613-?	3E-11	-	NR	-	-	-	ANPEP	Height	"body height"	-	GCST007841	15:89800805	30595370	"Kichaev G"
rs2970358-?	6E-17	-	NR	-	-	-	ZNF710-AS1,ZNF710	Height	"body height"	-	GCST007841	15:90079272	30595370	"Kichaev G"
rs11609-?	5E-16	-	NR	-	-	-	IQGAP1	Height	"body height"	-	GCST007841	15:90500533	30595370	"Kichaev G"
rs11073953-?	2E-12	-	NR	-	-	-	BLM	Height	"body height"	-	GCST007841	15:90810354	30595370	"Kichaev G"
rs2304655-?	3E-11	-	NR	-	-	-	CHD2,CHASERR	Height	"body height"	-	GCST007841	15:92891995	30595370	"Kichaev G"
rs4777825-?	2E-13	-	NR	-	-	-	RGMA,SEPHS1P2	Height	"body height"	-	GCST007841	15:93297034	30595370	"Kichaev G"
rs8036549-?	3E-9	-	NR	-	-	-	LINC01579,SEPHS1P2	Height	"body height"	-	GCST007841	15:93483465	30595370	"Kichaev G"
rs7181724-?	2E-23	-	NR	-	-	-	LINC01579,LINC01581	Height	"body height"	-	GCST007841	15:94008378	30595370	"Kichaev G"
rs8032680-?	2E-8	-	NR	-	-	-	LETR1,LINC02852	Height	"body height"	-	GCST007841	15:94900838	30595370	"Kichaev G"
rs1994147-?	1E-13	-	NR	-	-	-	LETR1	Height	"body height"	-	GCST007841	15:95286295	30595370	"Kichaev G"
rs16973982-?	2E-11	-	NR	-	-	-	RNU2-3P,LINC00924	Height	"body height"	-	GCST007841	15:95619929	30595370	"Kichaev G"
rs12592780-?	5E-9	-	NR	-	-	-	Metazoa_SRP,FAM149B1P1	Height	"body height"	-	GCST007841	15:96526592	30595370	"Kichaev G"
rs61747226-?	2E-8	-	NR	-	-	-	ARRDC4	Height	"body height"	-	GCST007841	15:97969201	30595370	"Kichaev G"
rs28605724-?	2E-19	-	NR	-	-	-	IRAIN,FAM169BP	Height	"body height"	-	GCST007841	15:98562288	30595370	"Kichaev G"
rs2871865-?	6E-119	-	NR	-	-	-	IGF1R	Height	"body height"	-	GCST007841	15:98651667	30595370	"Kichaev G"
rs2684777-?	1E-25	-	NR	-	-	-	IGF1R	Height	"body height"	-	GCST007841	15:98853465	30595370	"Kichaev G"
rs8033670-?	8E-19	-	NR	-	-	-	IGF1R,SYNM-AS1	Height	"body height"	-	GCST007841	15:98955650	30595370	"Kichaev G"
rs2663124-?	6E-24	-	NR	-	-	-	SYNM-AS1,LUNAR1	Height	"body height"	-	GCST007841	15:99020802	30595370	"Kichaev G"
rs6598265-?	8E-9	-	NR	-	-	-	LYSMD4,RN7SL484P	Height	"body height"	-	GCST007841	15:99734905	30595370	"Kichaev G"
rs77379230-?	4E-9	-	NR	-	-	-	ADAMTS17,DNM1P46	Height	"body height"	-	GCST007841	15:99843795	30595370	"Kichaev G"
rs2581348-?	2E-32	-	NR	-	-	-	ADAMTS17	Height	"body height"	-	GCST007841	15:99973858	30595370	"Kichaev G"
rs72755233-?	3E-256	-	NR	-	-	-	ADAMTS17	Height	"body height"	-	GCST007841	15:100152748	30595370	"Kichaev G"
rs4369638-?	1E-90	-	NR	-	-	-	ADAMTS17	Height	"body height"	-	GCST007841	15:100254158	30595370	"Kichaev G"
rs11247252-?	3E-22	-	NR	-	-	-	LRRK1	Height	"body height"	-	GCST007841	15:101018722	30595370	"Kichaev G"
rs62621400-?	3E-79	-	NR	-	-	-	CHSY1	Height	"body height"	-	GCST007841	15:101178034	30595370	"Kichaev G"
rs138044297-?	2E-12	-	NR	-	-	-	RN7SL316P,LRRC37BP1	Height	"body height"	-	GCST007841	17:30685470	30595370	"Kichaev G"
rs7223535-?	1E-222	-	NR	-	-	-	ATAD5	Height	"body height"	-	GCST007841	17:30884649	30595370	"Kichaev G"
rs143119709-?	1E-9	-	NR	-	-	-	NF1	Height	"body height"	-	GCST007841	17:31165758	30595370	"Kichaev G"
rs7503951-?	6E-23	-	NR	-	-	-	NF1	Height	"body height"	-	GCST007841	17:31332574	30595370	"Kichaev G"
rs11870603-?	3E-21	-	NR	-	-	-	RNU6ATAC7P	Height	"body height"	-	GCST007841	17:31563789	30595370	"Kichaev G"
rs441695-?	3E-8	-	NR	-	-	-	RNU6-1134P,MIR365BHG	Height	"body height"	-	GCST007841	17:31704919	30595370	"Kichaev G"
rs7209766-?	1E-27	-	NR	-	-	-	SUZ12,UTP6	Height	"body height"	-	GCST007841	17:31907829	30595370	"Kichaev G"
rs12450841-?	2E-8	-	NR	-	-	-	ASIC2	Height	"body height"	-	GCST007841	17:33323205	30595370	"Kichaev G"
rs1043515-?	7E-49	-	NR	-	-	-	PIP4K2B	Height	"body height"	-	GCST007841	17:38765943	30595370	"Kichaev G"
rs79873275-?	1E-14	-	NR	-	-	-	STAC2	Height	"body height"	-	GCST007841	17:39216520	30595370	"Kichaev G"
rs9903269-?	1E-11	-	NR	-	-	-	NEUROD2,CDK12	Height	"body height"	-	GCST007841	17:39586130	30595370	"Kichaev G"
rs75553180-?	2E-8	-	NR	-	-	-	NR1D1,MSL1	Height	"body height"	-	GCST007841	17:40120643	30595370	"Kichaev G"
rs584828-?	2E-55	-	NR	-	-	-	IGFBP4,RPL23AP75	Height	"body height"	-	GCST007841	17:40442978	30595370	"Kichaev G"
rs41283425-?	5E-14	-	NR	-	-	-	JUP	Height	"body height"	-	GCST007841	17:41769461	30595370	"Kichaev G"
rs4792953-?	8E-24	-	NR	-	-	-	EZH1	Height	"body height"	-	GCST007841	17:42721285	30595370	"Kichaev G"
rs7222604-?	8E-9	-	NR	-	-	-	ETV4,DHX8	Height	"body height"	-	GCST007841	17:43539088	30595370	"Kichaev G"
rs76410205-?	1E-23	-	NR	-	-	-	SOST,WHSC1L2P	Height	"body height"	-	GCST007841	17:43730140	30595370	"Kichaev G"
rs139114659-?	3E-13	-	NR	-	-	-	SLC25A39	Height	"body height"	-	GCST007841	17:44320292	30595370	"Kichaev G"
rs76130710-?	1E-24	-	NR	-	-	-	FZD2,SMCO4P1	Height	"body height"	-	GCST007841	17:44636916	30595370	"Kichaev G"
rs143360647-?	3E-8	-	NR	-	-	-	ADAM11	Height	"body height"	-	GCST007841	17:44779807	30595370	"Kichaev G"
rs8067974-?	9E-73	-	NR	-	-	-	HEXIM2-AS1	Height	"body height"	-	GCST007841	17:45155199	30595370	"Kichaev G"
rs117642368-?	5E-14	-	NR	-	-	-	RNA5SP443,MAP3K14	Height	"body height"	-	GCST007841	17:45321692	30595370	"Kichaev G"
rs7207400-?	2E-30	-	NR	-	-	-	LINC02210-CRHR1	Height	"body height"	-	GCST007841	17:45746994	30595370	"Kichaev G"
rs197920-?	2E-7	-	NR	-	-	-	GOSR2	Height	"body height"	-	GCST007841	17:46927729	30595370	"Kichaev G"
rs117952616-?	4E-24	-	NR	-	-	-	NPEPPS	Height	"body height"	-	GCST007841	17:47589632	30595370	"Kichaev G"
rs73173954-?	2E-9	-	NR	-	-	-	PAH	Height	"body height"	-	GCST007841	12:102933660	30595370	"Kichaev G"
rs11612024-?	9E-19	-	NR	-	-	-	UQCC6	Height	"body height"	-	GCST007841	12:103960395	30595370	"Kichaev G"
rs12305866-?	4E-13	-	NR	-	-	-	TXNRD1,CHST11	Height	"body height"	-	GCST007841	12:104448339	30595370	"Kichaev G"
rs7954946-?	3E-10	-	NR	-	-	-	NOPCHAP1,ALDH1L2	Height	"body height"	-	GCST007841	12:105070258	30595370	"Kichaev G"
rs4590982-?	5E-11	-	NR	-	-	-	CASC18	Height	"body height"	-	GCST007841	12:105711045	30595370	"Kichaev G"
rs987455-?	3E-8	-	NR	-	-	-	ST13P3,NUAK1	Height	"body height"	-	GCST007841	12:106029709	30595370	"Kichaev G"
rs1215759-?	1E-17	-	NR	-	-	-	CKAP4,NUAK1	Height	"body height"	-	GCST007841	12:106232654	30595370	"Kichaev G"
rs10861679-?	8E-32	-	NR	-	-	-	TMEM263-DT,RPL30P12	Height	"body height"	-	GCST007841	12:106929137	30595370	"Kichaev G"
rs12227529-?	2E-15	-	NR	-	-	-	PWP1	Height	"body height"	-	GCST007841	12:107701203	30595370	"Kichaev G"
rs17322313-?	2E-9	-	NR	-	-	-	CMKLR1	Height	"body height"	-	GCST007841	12:108324698	30595370	"Kichaev G"
rs11067211-?	1E-10	-	NR	-	-	-	MMAB,UBE3B	Height	"body height"	-	GCST007841	12:109550409	30595370	"Kichaev G"
rs3184504-?	1E-9	-	NR	-	-	-	SH2B3,ATXN2	Height	"body height"	-	GCST007841	12:111446804	30595370	"Kichaev G"
rs1061651-?	8E-15	-	NR	-	-	-	TBX3	Height	"body height"	-	GCST007841	12:114670556	30595370	"Kichaev G"
rs2460488-?	6E-15	-	NR	-	-	-	LINC02463,RN7SL865P	Height	"body height"	-	GCST007841	12:115749855	30595370	"Kichaev G"
rs2392971-?	7E-15	-	NR	-	-	-	MED13L,MIR4472-2	Height	"body height"	-	GCST007841	12:116281397	30595370	"Kichaev G"
rs11829086-?	2E-10	-	NR	-	-	-	SPRING1	Height	"body height"	-	GCST007841	12:116734568	30595370	"Kichaev G"
rs12823620-?	9E-30	-	NR	-	-	-	FBXW8	Height	"body height"	-	GCST007841	12:116911670	30595370	"Kichaev G"
rs1185209-?	1E-12	-	NR	-	-	-	RNU4-1,SIRT4	Height	"body height"	-	GCST007841	12:120297291	30595370	"Kichaev G"
rs76929617-?	2E-42	-	NR	-	-	-	COX6A1,RPS27P25	Height	"body height"	-	GCST007841	12:120429995	30595370	"Kichaev G"
rs12822123-?	3E-18	-	NR	-	-	-	SPPL3	Height	"body height"	-	GCST007841	12:120860841	30595370	"Kichaev G"
rs13141-?	6E-23	-	NR	-	-	-	ANAPC5	Height	"body height"	-	GCST007841	12:121318281	30595370	"Kichaev G"
rs76990798-?	2E-8	-	NR	-	-	-	KDM2B	Height	"body height"	-	GCST007841	12:121555072	30595370	"Kichaev G"
rs144241592-?	2E-13	-	NR	-	-	-	HPD	Height	"body height"	-	GCST007841	12:121844610	30595370	"Kichaev G"
rs4132934-?	5E-15	-	NR	-	-	-	MLXIP	Height	"body height"	-	GCST007841	12:122121629	30595370	"Kichaev G"
rs10847415-?	3E-31	-	NR	-	-	-	KNTC1,HCAR2	Height	"body height"	-	GCST007841	12:122659746	30595370	"Kichaev G"
rs11060406-?	1E-10	-	NR	-	-	-	HIP1R	Height	"body height"	-	GCST007841	12:122854570	30595370	"Kichaev G"
rs28481863-?	2E-70	-	NR	-	-	-	RILPL2	Height	"body height"	-	GCST007841	12:123417814	30595370	"Kichaev G"
rs7305701-?	3E-15	-	NR	-	-	-	GTF2H3,TCTN2	Height	"body height"	-	GCST007841	12:123665466	30595370	"Kichaev G"
rs10846577-?	3E-11	-	NR	-	-	-	DNAH10	Height	"body height"	-	GCST007841	12:123915714	30595370	"Kichaev G"
rs10846657-?	1E-62	-	NR	-	-	-	NCOR2	Height	"body height"	-	GCST007841	12:124325628	30595370	"Kichaev G"
rs837500-?	4E-11	-	NR	-	-	-	NCOR2,SCARB1	Height	"body height"	-	GCST007841	12:124593021	30595370	"Kichaev G"
rs10773100-?	4E-12	-	NR	-	-	-	SCARB1,NCOR2	Height	"body height"	-	GCST007841	12:124695033	30595370	"Kichaev G"
rs13624-?	5E-8	-	NR	-	-	-	UBC	Height	"body height"	-	GCST007841	12:124914621	30595370	"Kichaev G"
rs7957882-?	9E-12	-	NR	-	-	-	ADGRD1	Height	"body height"	-	GCST007841	12:131132872	30595370	"Kichaev G"
rs7976530-?	1E-15	-	NR	-	-	-	EP400P1	Height	"body height"	-	GCST007841	12:132124595	30595370	"Kichaev G"
rs4296106-?	8E-9	-	NR	-	-	-	GALNT9,FBRSL1	Height	"body height"	-	GCST007841	12:132481377	30595370	"Kichaev G"
rs34287227-?	9E-18	-	NR	-	-	-	CHFR	Height	"body height"	-	GCST007841	12:132881589	30595370	"Kichaev G"
rs1822365-?	1E-23	-	NR	-	-	-	XPO4	Height	"body height"	-	GCST007841	13:20832719	30595370	"Kichaev G"
rs61950149-?	4E-32	-	NR	-	-	-	RPSAP54,LATS2	Height	"body height"	-	GCST007841	13:20969363	30595370	"Kichaev G"
rs8181878-?	2E-8	-	NR	-	-	-	MIPEP	Height	"body height"	-	GCST007841	13:23852372	30595370	"Kichaev G"
rs75783371-?	1E-11	-	NR	-	-	-	RNU6-63P,LNX2	Height	"body height"	-	GCST007841	13:27535824	30595370	"Kichaev G"
rs76750172-?	5E-15	-	NR	-	-	-	PLUT	Height	"body height"	-	GCST007841	13:27821160	30595370	"Kichaev G"
rs11618507-?	6E-18	-	NR	-	-	-	SLC7A1,UBL3	Height	"body height"	-	GCST007841	13:29598614	30595370	"Kichaev G"
rs2520698-?	8E-12	-	NR	-	-	-	FRY	Height	"body height"	-	GCST007841	13:32200396	30595370	"Kichaev G"
rs2239748-?	8E-28	-	NR	-	-	-	N4BP2L2	Height	"body height"	-	GCST007841	13:32527680	30595370	"Kichaev G"
rs797192-?	4E-9	-	NR	-	-	-	STARD13-AS,STARD13	Height	"body height"	-	GCST007841	13:33202046	30595370	"Kichaev G"
rs9544156-?	2E-8	-	NR	-	-	-	NBEA	Height	"body height"	-	GCST007841	13:35376354	30595370	"Kichaev G"
rs7981274-?	5E-11	-	NR	-	-	-	SPART,SPART-AS1	Height	"body height"	-	GCST007841	13:36352428	30595370	"Kichaev G"
rs9576132-?	3E-10	-	NR	-	-	-	SMAD9	Height	"body height"	-	GCST007841	13:36906064	30595370	"Kichaev G"
rs646299-?	1E-9	-	NR	-	-	-	LINC00571	Height	"body height"	-	GCST007841	13:38255030	30595370	"Kichaev G"
rs394571-?	3E-11	-	NR	-	-	-	KCNMB4	Height	"body height"	-	GCST007841	12:70427893	30595370	"Kichaev G"
rs12813125-?	8E-9	-	NR	-	-	-	PTPRR	Height	"body height"	-	GCST007841	12:70729668	30595370	"Kichaev G"
rs11178492-?	8E-9	-	NR	-	-	-	TSPAN8,PTPRR	Height	"body height"	-	GCST007841	12:70923916	30595370	"Kichaev G"
rs310796-?	2E-30	-	NR	-	-	-	E2F7	Height	"body height"	-	GCST007841	12:77059446	30595370	"Kichaev G"
rs12309133-?	2E-8	-	NR	-	-	-	LINC02426,PPFIA2	Height	"body height"	-	GCST007841	12:81843061	30595370	"Kichaev G"
rs10779122-?	3E-9	-	NR	-	-	-	SLC6A15,RPL6P25	Height	"body height"	-	GCST007841	12:84661783	30595370	"Kichaev G"
rs2408058-?	4E-9	-	NR	-	-	-	RNU6-148P,BRWD1P2	Height	"body height"	-	GCST007841	12:89858723	30595370	"Kichaev G"
rs56331133-?	2E-8	-	NR	-	-	-	LINC02822,LINC02392	Height	"body height"	-	GCST007841	12:90333006	30595370	"Kichaev G"
rs11478-?	1E-14	-	NR	-	-	-	LUM	Height	"body height"	-	GCST007841	12:91103540	30595370	"Kichaev G"
rs10859277-?	5E-9	-	NR	-	-	-	LINC01619	Height	"body height"	-	GCST007841	12:92127422	30595370	"Kichaev G"
rs11106863-?	9E-12	-	NR	-	-	-	RPL41P5,NACAP8	Height	"body height"	-	GCST007841	12:93120986	30595370	"Kichaev G"
rs9634212-?	8E-175	-	NR	-	-	-	CRADD,SOCS2	Height	"body height"	-	GCST007841	12:93599490	30595370	"Kichaev G"
rs10777538-?	1E-80	-	NR	-	-	-	CRADD	Height	"body height"	-	GCST007841	12:93739508	30595370	"Kichaev G"
rs3847787-?	7E-26	-	NR	-	-	-	CRADD	Height	"body height"	-	GCST007841	12:93813756	30595370	"Kichaev G"
rs7961023-?	4E-28	-	NR	-	-	-	RN7SKP263,CRADD	Height	"body height"	-	GCST007841	12:93932898	30595370	"Kichaev G"
rs2769468-?	1E-8	-	NR	-	-	-	METAP2	Height	"body height"	-	GCST007841	12:95503053	30595370	"Kichaev G"
rs61938858-?	2E-12	-	NR	-	-	-	CDK17	Height	"body height"	-	GCST007841	12:96283165	30595370	"Kichaev G"
rs4373984-?	9E-11	-	NR	-	-	-	RMST,LINC02409	Height	"body height"	-	GCST007841	12:97398809	30595370	"Kichaev G"
rs12371834-?	3E-57	-	NR	-	-	-	DRAM1	Height	"body height"	-	GCST007841	12:101954023	30595370	"Kichaev G"
rs142587718-?	1E-8	-	NR	-	-	-	WASHC3	Height	"body height"	-	GCST007841	12:102032318	30595370	"Kichaev G"
rs76157805-?	2E-42	-	NR	-	-	-	PARPBP	Height	"body height"	-	GCST007841	12:102178155	30595370	"Kichaev G"
rs74900775-?	2E-28	-	NR	-	-	-	HELLPAR,LINC02456	Height	"body height"	-	GCST007841	12:102267582	30595370	"Kichaev G"
rs855286-?	5E-22	-	NR	-	-	-	LINC00485,IGF1	Height	"body height"	-	GCST007841	12:102552676	30595370	"Kichaev G"
rs703593-?	6E-48	-	NR	-	-	-	IGF1,LINC00485	Height	"body height"	-	GCST007841	12:102670469	30595370	"Kichaev G"
rs78812993-?	2E-31	-	NR	-	-	-	LINC00485,IGF1	Height	"body height"	-	GCST007841	12:102781392	30595370	"Kichaev G"
rs62072534-?	2E-8	-	NR	-	-	-	SLC52A1,ZFP3-DT	Height	"body height"	-	GCST007841	17:5052135	30595370	"Kichaev G"
rs2240276-?	2E-9	-	NR	-	-	-	TXNDC17,MED31	Height	"body height"	-	GCST007841	17:6643601	30595370	"Kichaev G"
rs2047803-?	4E-15	-	NR	-	-	-	NEURL4,ACAP1	Height	"body height"	-	GCST007841	17:7334027	30595370	"Kichaev G"
rs55749333-?	3E-91	-	NR	-	-	-	ZBTB4	Height	"body height"	-	GCST007841	17:7468613	30595370	"Kichaev G"
rs55831773-?	3E-34	-	NR	-	-	-	ATP1B2	Height	"body height"	-	GCST007841	17:7655719	30595370	"Kichaev G"
rs138420351-?	1E-19	-	NR	-	-	-	DNAH2	Height	"body height"	-	GCST007841	17:7796745	30595370	"Kichaev G"
rs4792250-?	2E-33	-	NR	-	-	-	HES7	Height	"body height"	-	GCST007841	17:8120900	30595370	"Kichaev G"
rs78068712-?	3E-9	-	NR	-	-	-	STX8	Height	"body height"	-	GCST007841	17:9251538	30595370	"Kichaev G"
rs2320549-?	3E-9	-	NR	-	-	-	GAS7	Height	"body height"	-	GCST007841	17:10141230	30595370	"Kichaev G"
rs1242507-?	3E-8	-	NR	-	-	-	Y_RNA,MED9	Height	"body height"	-	GCST007841	17:17462085	30595370	"Kichaev G"
rs112546679-?	2E-9	-	NR	-	-	-	RAI1	Height	"body height"	-	GCST007841	17:17725069	30595370	"Kichaev G"
rs147747231-?	1E-18	-	NR	-	-	-	TOM1L2	Height	"body height"	-	GCST007841	17:17849325	30595370	"Kichaev G"
rs865923-?	3E-25	-	NR	-	-	-	MYO15A	Height	"body height"	-	GCST007841	17:18151603	30595370	"Kichaev G"
rs735092-?	1E-8	-	NR	-	-	-	TMEM11,DHRS7B	Height	"body height"	-	GCST007841	17:21196432	30595370	"Kichaev G"
rs12951372-?	7E-9	-	NR	-	-	-	NATD1	Height	"body height"	-	GCST007841	17:21251341	30595370	"Kichaev G"
rs7213608-?	1E-69	-	NR	-	-	-	MAP2K3,KCNJ12	Height	"body height"	-	GCST007841	17:21375977	30595370	"Kichaev G"
rs534291129-?	2E-9	-	NR	-	-	-	FAM27E5,FLJ36000	Height	"body height"	-	GCST007841	17:22320877	30595370	"Kichaev G"
rs931688-?	6E-11	-	NR	-	-	-	TUFMP1,RPL34P31	Height	"body height"	-	GCST007841	17:27248950	30595370	"Kichaev G"
rs11545700-?	2E-15	-	NR	-	-	-	RAB34	Height	"body height"	-	GCST007841	17:28717464	30595370	"Kichaev G"
rs143425049-?	2E-8	-	NR	-	-	-	PHF12	Height	"body height"	-	GCST007841	17:28948378	30595370	"Kichaev G"
rs138472821-?	3E-20	-	NR	-	-	-	RPL35AP35,RNU4-34P	Height	"body height"	-	GCST007841	17:29378168	30595370	"Kichaev G"
rs11654523-?	2E-23	-	NR	-	-	-	ABHD15-AS1,SSH2	Height	"body height"	-	GCST007841	17:29630527	30595370	"Kichaev G"
rs146171833-?	1E-13	-	NR	-	-	-	EFCAB5	Height	"body height"	-	GCST007841	17:29996597	30595370	"Kichaev G"
rs56357032-?	6E-45	-	NR	-	-	-	NSRP1	Height	"body height"	-	GCST007841	17:30147916	30595370	"Kichaev G"
rs116913103-?	1E-11	-	NR	-	-	-	CPD	Height	"body height"	-	GCST007841	17:30417244	30595370	"Kichaev G"
rs7999758-?	6E-17	-	NR	-	-	-	COG6	Height	"body height"	-	GCST007841	13:39662464	30595370	"Kichaev G"
rs80293200-?	6E-9	-	NR	-	-	-	AZU1P1,CDKN2AIPNLP3	Height	"body height"	-	GCST007841	13:39819233	30595370	"Kichaev G"
rs2755237-?	9E-23	-	NR	-	-	-	LINC00598	Height	"body height"	-	GCST007841	13:40535292	30595370	"Kichaev G"
rs7996228-?	8E-22	-	NR	-	-	-	MIR320D1,FOXO1	Height	"body height"	-	GCST007841	13:40707595	30595370	"Kichaev G"
rs2104724-?	9E-9	-	NR	-	-	-	RN7SL597P,KBTBD6	Height	"body height"	-	GCST007841	13:41125483	30595370	"Kichaev G"
rs9533031-?	2E-18	-	NR	-	-	-	DGKH	Height	"body height"	-	GCST007841	13:42198581	30595370	"Kichaev G"
rs7995617-?	6E-9	-	NR	-	-	-	SERP2,LINC02938	Height	"body height"	-	GCST007841	13:44270699	30595370	"Kichaev G"
rs41284155-?	1E-10	-	NR	-	-	-	ZC3H13	Height	"body height"	-	GCST007841	13:46020484	30595370	"Kichaev G"
rs7996004-?	1E-17	-	NR	-	-	-	LINC01198,LRCH1	Height	"body height"	-	GCST007841	13:46519367	30595370	"Kichaev G"
rs7334370-?	6E-14	-	NR	-	-	-	GNG5P5,RN7SL700P	Height	"body height"	-	GCST007841	13:47345360	30595370	"Kichaev G"
rs9568025-?	1E-15	-	NR	-	-	-	POLR2KP2,ITM2B	Height	"body height"	-	GCST007841	13:48227740	30595370	"Kichaev G"
rs78871791-?	9E-11	-	NR	-	-	-	FNDC3A	Height	"body height"	-	GCST007841	13:49186941	30595370	"Kichaev G"
rs7984177-?	1E-9	-	NR	-	-	-	CAB39L	Height	"body height"	-	GCST007841	13:49361621	30595370	"Kichaev G"
rs77929895-?	8E-19	-	NR	-	-	-	PHF11	Height	"body height"	-	GCST007841	13:49498293	30595370	"Kichaev G"
rs141604861-?	7E-12	-	NR	-	-	-	KPNA3,RNY4P30	Height	"body height"	-	GCST007841	13:49822570	30595370	"Kichaev G"
rs7338963-?	9E-36	-	NR	-	-	-	RNY4P9,CTAGE10P	Height	"body height"	-	GCST007841	13:49893202	30595370	"Kichaev G"
rs41284816-?	9E-160	-	NR	-	-	-	DLEU2	Height	"body height"	-	GCST007841	13:50081853	30595370	"Kichaev G"
rs41308558-?	4E-17	-	NR	-	-	-	DLEU1	Height	"body height"	-	GCST007841	13:50157231	30595370	"Kichaev G"
rs143794540-?	8E-9	-	NR	-	-	-	DLEU1	Height	"body height"	-	GCST007841	13:50277750	30595370	"Kichaev G"
rs3118906-?	2E-174	-	NR	-	-	-	DLEU7,DLEU1	Height	"body height"	-	GCST007841	13:50532652	30595370	"Kichaev G"
rs3118077-?	5E-21	-	NR	-	-	-	DLEU7,DLEU1	Height	"body height"	-	GCST007841	13:50728174	30595370	"Kichaev G"
rs183159852-?	2E-8	-	NR	-	-	-	RNASEH2B	Height	"body height"	-	GCST007841	13:50935665	30595370	"Kichaev G"
rs9535566-?	3E-16	-	NR	-	-	-	GUCY1B2	Height	"body height"	-	GCST007841	13:51066289	30595370	"Kichaev G"
rs7330220-?	7E-8	-	NR	-	-	-	CNMD	Height	"body height"	-	GCST007841	13:52712815	30595370	"Kichaev G"
rs1854788-?	3E-8	-	NR	-	-	-	LINC00374,RNY4P29	Height	"body height"	-	GCST007841	13:58511185	30595370	"Kichaev G"
rs12908794-?	2E-10	-	NR	-	-	-	LINC02694	Height	"body height"	-	GCST007841	15:38767235	30595370	"Kichaev G"
rs62018159-?	4E-12	-	NR	-	-	-	BMF	Height	"body height"	-	GCST007841	15:40105220	30595370	"Kichaev G"
rs11635059-?	8E-9	-	NR	-	-	-	RPLP0P10,INAFM2	Height	"body height"	-	GCST007841	15:40318432	30595370	"Kichaev G"
rs185649211-?	2E-11	-	NR	-	-	-	KNL1	Height	"body height"	-	GCST007841	15:40638950	30595370	"Kichaev G"
rs112497439-?	1E-8	-	NR	-	-	-	RMDN3	Height	"body height"	-	GCST007841	15:40745589	30595370	"Kichaev G"
rs3959554-?	3E-36	-	NR	-	-	-	INO80,CIBAR1P1	Height	"body height"	-	GCST007841	15:41151726	30595370	"Kichaev G"
rs16971976-?	1E-24	-	NR	-	-	-	MGA	Height	"body height"	-	GCST007841	15:41697728	30595370	"Kichaev G"
rs117990941-?	5E-12	-	NR	-	-	-	EHD4	Height	"body height"	-	GCST007841	15:41897706	30595370	"Kichaev G"
rs62020748-?	1E-16	-	NR	-	-	-	UBR1	Height	"body height"	-	GCST007841	15:43049549	30595370	"Kichaev G"
rs7170955-?	3E-11	-	NR	-	-	-	MTND5P40,RNU6-1014P	Height	"body height"	-	GCST007841	15:46365394	30595370	"Kichaev G"
rs665751-?	5E-11	-	NR	-	-	-	SEMA6D	Height	"body height"	-	GCST007841	15:47352766	30595370	"Kichaev G"
rs17326895-?	3E-8	-	NR	-	-	-	SEMA6D	Height	"body height"	-	GCST007841	15:47644166	30595370	"Kichaev G"
rs12592845-?	3E-38	-	NR	-	-	-	FBN1,DUT	Height	"body height"	-	GCST007841	15:48392761	30595370	"Kichaev G"
rs4775769-?	2E-34	-	NR	-	-	-	FBN1-DT	Height	"body height"	-	GCST007841	15:48647691	30595370	"Kichaev G"
rs72737101-?	4E-12	-	NR	-	-	-	HDC,GABPB1	Height	"body height"	-	GCST007841	15:50273461	30595370	"Kichaev G"
rs62016946-?	1E-14	-	NR	-	-	-	USP8	Height	"body height"	-	GCST007841	15:50431938	30595370	"Kichaev G"
rs146939415-?	4E-24	-	NR	-	-	-	MIR4713HG,CYP19A1	Height	"body height"	-	GCST007841	15:51230013	30595370	"Kichaev G"
rs28757157-?	5E-42	-	NR	-	-	-	CYP19A1,MIR4713HG	Height	"body height"	-	GCST007841	15:51253204	30595370	"Kichaev G"
rs74438085-?	6E-9	-	NR	-	-	-	CCPG1,DNAAF4-CCPG1	Height	"body height"	-	GCST007841	15:55371795	30595370	"Kichaev G"
rs1863758-?	3E-12	-	NR	-	-	-	NEDD4	Height	"body height"	-	GCST007841	15:55858832	30595370	"Kichaev G"
rs11638850-?	1E-7	-	NR	-	-	-	RFX7	Height	"body height"	-	GCST007841	15:56141657	30595370	"Kichaev G"
rs3743266-?	2E-17	-	NR	-	-	-	RORA,RORA-AS1	Height	"body height"	-	GCST007841	15:60489314	30595370	"Kichaev G"
rs17270446-?	1E-9	-	NR	-	-	-	RORA	Height	"body height"	-	GCST007841	15:60781603	30595370	"Kichaev G"
rs813017-?	2E-28	-	NR	-	-	-	RORA	Height	"body height"	-	GCST007841	15:61117896	30595370	"Kichaev G"
rs76052316-?	2E-13	-	NR	-	-	-	RORA	Height	"body height"	-	GCST007841	15:61227660	30595370	"Kichaev G"
rs17205463-?	2E-35	-	NR	-	-	-	C2CD4B,NPM1P47	Height	"body height"	-	GCST007841	15:62089214	30595370	"Kichaev G"
rs4383083-?	2E-12	-	NR	-	-	-	TLN2	Height	"body height"	-	GCST007841	15:62788243	30595370	"Kichaev G"
